ID,TIMESTAMP,TympanicMembrane,Concha,EarCanal,Out_Bottom,Out_Top,Out_Middle,ObjTympanicMembrane,ObjConcha,ObjEarCanal,ObjOut_Bottom,ObjOut_Top,ObjOut_Middle,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
1, 2743, 2886, 2885, 2874, 2836, 2815, 2795, 2856, 2847, 2831, 2786, 2765, 2760, 2458, -1597, 96857, -1829, 1219, -1219, 291000, 1611000, -507000
1, 2832, 2886, 2885, 2874, 2836, 2815, 2795, 2856, 2847, 2831, 2786, 2765, 2760, 2237, -1435, 97006, -1753, 1143, -1219, 267000, 1467000, -501000
1, 2921, 2886, 2885, 2874, 2836, 2815, 2795, 2856, 2847, 2831, 2786, 2765, 2760, 2207, -1609, 97090, -1829, 1067, -1219, 387000, 1587000, -519000
1, 3010, 2886, 2885, 2874, 2836, 2815, 2795, 2856, 2847, 2831, 2786, 2765, 2760, 2506, -1973, 97048, -1753, 1067, -1219, 315000, 1587000, -519000
1, 3099, 2886, 2882, 2874, 2840, 2815, 2801, 2856, 2848, 2831, 2785, 2765, 2760, 2452, -1531, 96982, -1753, 1219, -1219, 483000, 1659000, -519000
1, 3188, 2886, 2882, 2875, 2840, 2817, 2801, 2857, 2848, 2831, 2785, 2765, 2760, 2494, -1555, 97078, -1829, 1143, -1219, 315000, 1515000, -519000
1, 3277, 2886, 2882, 2875, 2840, 2817, 2801, 2857, 2848, 2831, 2785, 2765, 2760, 2308, -1555, 97018, -1905, 1067, -1143, 531000, 1515000, -537000
1, 3366, 2886, 2882, 2875, 2840, 2817, 2801, 2857, 2848, 2831, 2785, 2765, 2760, 2338, -1417, 96982, -1676, 1143, -1219, 267000, 1539000, -543000
1, 3528, 2886, 2882, 2875, 2840, 2817, 2801, 2857, 2848, 2831, 2785, 2765, 2760, 2416, -1800, 97030, -1829, 990, -1143, 243000, 1515000, -525000
1, 3617, 2886, 2889, 2875, 2835, 2817, 2797, 2857, 2849, 2831, 2785, 2765, 2760, 2374, -1585, 96952, -1829, 1143, -1067, 339000, 1467000, -531000
1, 3706, 2888, 2889, 2874, 2835, 2820, 2797, 2858, 2849, 2832, 2785, 2765, 2760, 2470, -1680, 97090, -1829, 1143, -1143, 267000, 1491000, -519000
1, 3795, 2888, 2889, 2874, 2835, 2820, 2797, 2858, 2849, 2832, 2785, 2765, 2760, 2392, -1812, 97000, -1676, 1067, -1219, 291000, 1539000, -519000
1, 3884, 2888, 2889, 2874, 2835, 2820, 2797, 2858, 2849, 2832, 2785, 2765, 2760, 2249, -1698, 97084, -1676, 1219, -1143, 291000, 1539000, -531000
1, 3973, 2888, 2889, 2874, 2835, 2820, 2797, 2858, 2849, 2832, 2785, 2765, 2760, 2284, -1746, 97108, -1753, 1219, -1143, 363000, 1563000, -507000
1, 4062, 2888, 2889, 2874, 2832, 2820, 2797, 2858, 2849, 2832, 2785, 2765, 2760, 2266, -1686, 97222, -1829, 1143, -1219, 219000, 1611000, -507000
1, 4225, 2889, 2885, 2877, 2832, 2820, 2800, 2858, 2849, 2833, 2785, 2766, 2760, 2302, -1644, 97096, -1600, 1067, -1143, 435000, 1491000, -519000
1, 4314, 2889, 2885, 2877, 2832, 2820, 2800, 2858, 2849, 2833, 2785, 2766, 2760, 2422, -1854, 97084, -1676, 1143, -1219, 387000, 1443000, -531000
1, 4403, 2889, 2885, 2877, 2832, 2820, 2800, 2858, 2849, 2833, 2785, 2766, 2760, 2129, -1459, 97270, -1753, 1219, -1219, 315000, 1491000, -525000
1, 4492, 2889, 2885, 2877, 2832, 2820, 2800, 2858, 2849, 2833, 2785, 2766, 2760, 2249, -1513, 97204, -1676, 1067, -1219, 195000, 1563000, -525000
1, 4581, 2889, 2884, 2877, 2835, 2820, 2800, 2858, 2849, 2833, 2785, 2766, 2760, 2135, -1806, 97186, -1753, 1143, -1295, 315000, 1611000, -525000
1, 4670, 2889, 2884, 2877, 2835, 2820, 2794, 2859, 2849, 2833, 2785, 2766, 2761, 2213, -1746, 97443, -1676, 1143, -1219, 387000, 1539000, -525000
1, 4759, 2893, 2884, 2875, 2835, 2822, 2794, 2859, 2849, 2833, 2785, 2766, 2761, 2231, -1812, 97240, -1829, 1219, -1219, 339000, 1587000, -519000
1, 4922, 2893, 2884, 2875, 2835, 2822, 2794, 2859, 2849, 2833, 2785, 2766, 2761, 2177, -1662, 97204, -1753, 1143, -1219, 363000, 1611000, -525000
1, 5011, 2893, 2884, 2875, 2835, 2822, 2794, 2859, 2849, 2833, 2785, 2766, 2761, 2344, -1620, 97174, -1829, 1067, -1143, 363000, 1563000, -531000
1, 5100, 2893, 2888, 2875, 2839, 2822, 2794, 2859, 2850, 2833, 2785, 2766, 2761, 2249, -1722, 97293, -1753, 990, -1371, 411000, 1635000, -513000
1, 5189, 2889, 2888, 2875, 2839, 2822, 2796, 2859, 2850, 2833, 2785, 2766, 2762, 2308, -1644, 97006, -1829, 1219, -1219, 531000, 1611000, -519000
1, 5278, 2889, 2888, 2877, 2839, 2820, 2796, 2859, 2850, 2834, 2785, 2765, 2762, 2153, -1555, 96929, -1905, 1143, -1295, 315000, 1611000, -513000
1, 5367, 2889, 2888, 2877, 2839, 2820, 2796, 2859, 2850, 2834, 2785, 2765, 2762, 2344, -1620, 97132, -1753, 1143, -1219, 243000, 1515000, -537000
1, 5456, 2889, 2888, 2877, 2839, 2820, 2796, 2859, 2850, 2834, 2785, 2765, 2762, 2356, -1800, 97246, -1753, 1143, -1219, 411000, 1443000, -525000
1, 5618, 2889, 2887, 2877, 2833, 2820, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2440, -1722, 97210, -2057, 1067, -1295, 387000, 1611000, -519000
1, 5707, 2890, 2887, 2877, 2833, 2820, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2356, -1567, 97018, -1829, 1143, -1219, 483000, 1515000, -519000
1, 5796, 2890, 2887, 2875, 2833, 2817, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2195, -1716, 97270, -1753, 1143, -1143, 291000, 1563000, -519000
1, 5885, 2890, 2887, 2875, 2833, 2817, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2213, -1603, 97365, -1829, 1219, -1219, 147000, 1515000, -531000
1, 5974, 2890, 2887, 2875, 2833, 2817, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2201, -1656, 97240, -1753, 990, -1219, 291000, 1539000, -525000
1, 6063, 2890, 2887, 2875, 2833, 2817, 2799, 2859, 2851, 2834, 2785, 2765, 2762, 2219, -1728, 97383, -1829, 1219, -1219, 411000, 1611000, -525000
