ID,TIMESTAMP,TympanicMembrane,Concha,EarCanal,Out_Bottom,Out_Top,Out_Middle,ObjTympanicMembrane,ObjConcha,ObjEarCanal,ObjOut_Bottom,ObjOut_Top,ObjOut_Middle,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
1, 3001, 2579, 2602, 2576, 2547, 2670, 2551, 2455, 2465, 2419, 2351, 2485, 2372, 63193, -11705, 73894, -1219, 1143, -914, -2829000, 1947000, -117000
1, 3090, 2579, 2608, 2576, 2541, 2670, 2553, 2455, 2470, 2419, 2353, 2485, 2375, 63133, -11795, 73948, -1219, 1219, -1067, -2901000, 2115000, -105000
1, 3179, 2584, 2608, 2575, 2541, 2672, 2553, 2462, 2470, 2424, 2353, 2487, 2375, 63062, -11717, 73870, -1371, 1219, -1067, -2661000, 1923000, -123000
1, 3268, 2584, 2608, 2575, 2541, 2672, 2553, 2462, 2470, 2424, 2353, 2487, 2375, 63008, -11837, 73966, -1295, 1295, -1067, -2733000, 1899000, -105000
1, 3357, 2584, 2608, 2575, 2541, 2672, 2553, 2462, 2470, 2424, 2353, 2487, 2375, 63074, -11771, 73924, -1295, 1219, -1067, -2757000, 1923000, -105000
1, 3446, 2584, 2608, 2575, 2541, 2672, 2553, 2462, 2470, 2424, 2353, 2487, 2375, 63110, -11837, 73834, -1219, 1143, -1067, -2901000, 1875000, -99000
1, 3535, 2584, 2608, 2575, 2541, 2672, 2553, 2462, 2470, 2424, 2353, 2487, 2375, 63002, -12022, 74080, -1219, 1219, -990, -2853000, 1947000, -117000
1, 3706, 2582, 2603, 2574, 2548, 2670, 2558, 2467, 2474, 2428, 2355, 2489, 2377, 63026, -11962, 73745, -1295, 1219, -990, -2829000, 1923000, -117000
1, 3795, 2582, 2603, 2574, 2548, 2670, 2558, 2467, 2474, 2428, 2355, 2489, 2377, 63002, -11765, 73942, -1371, 990, -1143, -2877000, 1923000, -117000
1, 3884, 2582, 2603, 2574, 2548, 2670, 2558, 2467, 2474, 2428, 2355, 2489, 2377, 62900, -11873, 74080, -1295, 1219, -990, -2901000, 1899000, -117000
1, 3973, 2582, 2603, 2574, 2548, 2670, 2558, 2467, 2474, 2428, 2355, 2489, 2377, 63104, -11789, 73888, -1371, 1295, -1067, -2829000, 1875000, -117000
1, 4062, 2582, 2603, 2574, 2550, 2670, 2558, 2467, 2478, 2428, 2357, 2489, 2377, 63074, -12058, 74133, -1371, 1295, -1143, -2877000, 1899000, -99000
1, 4151, 2582, 2605, 2574, 2550, 2670, 2552, 2467, 2478, 2428, 2357, 2489, 2379, 63068, -11645, 73984, -1371, 1143, -1067, -2901000, 2043000, -93000
1, 4308, 2585, 2605, 2583, 2550, 2673, 2552, 2475, 2478, 2432, 2357, 2491, 2379, 63032, -11627, 74145, -1143, 1219, -1067, -2949000, 1851000, -99000
1, 4397, 2585, 2605, 2583, 2550, 2673, 2552, 2475, 2478, 2432, 2357, 2491, 2379, 63032, -11885, 73912, -1219, 1067, -1067, -2853000, 1923000, -129000
1, 4487, 2585, 2605, 2583, 2550, 2673, 2552, 2475, 2478, 2432, 2357, 2491, 2379, 63056, -11897, 74301, -1219, 1067, -990, -2781000, 2091000, -117000
1, 4576, 2585, 2613, 2583, 2550, 2673, 2552, 2475, 2481, 2432, 2359, 2491, 2379, 62948, -11897, 74319, -1295, 1219, -990, -2829000, 1947000, -129000
1, 4665, 2585, 2613, 2583, 2550, 2673, 2560, 2480, 2481, 2432, 2359, 2491, 2381, 63026, -11819, 74175, -1295, 1143, -1067, -2781000, 1827000, -141000
1, 4754, 2584, 2613, 2580, 2550, 2675, 2560, 2480, 2481, 2436, 2359, 2493, 2381, 62799, -12106, 73858, -1295, 1143, -1143, -2637000, 1947000, -129000
1, 4929, 2584, 2613, 2580, 2550, 2675, 2560, 2480, 2481, 2436, 2359, 2493, 2381, 62978, -11938, 74127, -1295, 1219, -990, -2661000, 1971000, -123000
1, 5018, 2584, 2613, 2580, 2550, 2675, 2560, 2480, 2481, 2436, 2359, 2493, 2381, 63104, -11938, 73942, -1295, 1143, -990, -2781000, 1899000, -99000
1, 5107, 2584, 2616, 2580, 2554, 2675, 2558, 2480, 2486, 2436, 2361, 2493, 2382, 63187, -11837, 74008, -1143, 1143, -1067, -2829000, 1971000, -111000
1, 5196, 2592, 2616, 2580, 2554, 2675, 2559, 2486, 2486, 2436, 2361, 2493, 2382, 63038, -11968, 74115, -1295, 1219, -1067, -2781000, 1971000, -117000
1, 5285, 2592, 2616, 2581, 2554, 2677, 2559, 2486, 2486, 2440, 2361, 2495, 2382, 63133, -11819, 74103, -1295, 1143, -1067, -2709000, 2019000, -117000
1, 5374, 2592, 2616, 2581, 2554, 2677, 2559, 2486, 2486, 2440, 2361, 2495, 2382, 63205, -12034, 74080, -1295, 1067, -1067, -2781000, 1971000, -111000
1, 5550, 2592, 2616, 2581, 2554, 2677, 2559, 2486, 2486, 2440, 2361, 2495, 2382, 63044, -11926, 74235, -1295, 1219, -990, -2733000, 1875000, -129000
1, 5639, 2592, 2616, 2581, 2554, 2677, 2561, 2486, 2489, 2440, 2363, 2495, 2384, 62936, -12040, 74313, -1371, 1219, -914, -2781000, 1899000, -111000
1, 5728, 2595, 2616, 2581, 2554, 2677, 2561, 2490, 2489, 2440, 2363, 2496, 2384, 62930, -11903, 74103, -1371, 1143, -1067, -2973000, 1875000, -123000
1, 5817, 2595, 2616, 2588, 2554, 2677, 2561, 2490, 2489, 2443, 2363, 2496, 2384, 62990, -11879, 74038, -1295, 1143, -1143, -2901000, 1995000, -105000
1, 5906, 2595, 2616, 2588, 2554, 2677, 2561, 2490, 2489, 2443, 2363, 2496, 2384, 63056, -11777, 74074, -1295, 1219, -1143, -2853000, 1923000, -123000
1, 5995, 2595, 2616, 2588, 2554, 2677, 2561, 2490, 2489, 2443, 2363, 2496, 2384, 62984, -12046, 74253, -1295, 1371, -1067, -2877000, 1851000, -111000
1, 6173, 2595, 2621, 2588, 2555, 2677, 2564, 2490, 2491, 2443, 2364, 2496, 2386, 62942, -11753, 74175, -1448, 1143, -914, -2757000, 1971000, -117000
1, 6262, 2594, 2621, 2588, 2555, 2681, 2564, 2496, 2491, 2443, 2364, 2498, 2386, 63128, -11699, 74080, -1600, 990, -1295, -2853000, 1731000, -117000
1, 6351, 2594, 2621, 2587, 2555, 2681, 2564, 2496, 2491, 2447, 2364, 2498, 2386, 63193, -11992, 74008, -1295, 1067, -1067, -2829000, 1923000, -123000
1, 6440, 2594, 2621, 2587, 2555, 2681, 2564, 2496, 2491, 2447, 2364, 2498, 2386, 62894, -11843, 74002, -1295, 1143, -1067, -2925000, 1947000, -117000
1, 6529, 2594, 2621, 2587, 2555, 2681, 2564, 2496, 2491, 2447, 2364, 2498, 2386, 62816, -11932, 74133, -1219, 1219, -990, -2877000, 1971000, -129000
1, 6618, 2594, 2615, 2587, 2557, 2681, 2564, 2496, 2494, 2447, 2365, 2498, 2386, 62942, -11681, 74241, -1295, 1067, -1067, -2877000, 1923000, -123000
1, 6781, 2593, 2615, 2587, 2557, 2680, 2567, 2500, 2494, 2447, 2365, 2500, 2388, 63044, -11843, 74163, -1219, 1067, -1067, -2877000, 1947000, -111000
1, 6870, 2593, 2615, 2590, 2557, 2680, 2567, 2500, 2494, 2449, 2365, 2500, 2388, 63098, -11783, 74414, -1371, 1219, -990, -2949000, 1755000, -129000
1, 6959, 2593, 2615, 2590, 2557, 2680, 2567, 2500, 2494, 2449, 2365, 2500, 2388, 62900, -11759, 74301, -1448, 1219, -1067, -2829000, 1899000, -117000
1, 7048, 2593, 2615, 2590, 2557, 2680, 2567, 2500, 2494, 2449, 2365, 2500, 2388, 63116, -11861, 74193, -1295, 1219, -1067, -2709000, 1923000, -105000
1, 7137, 2593, 2618, 2590, 2555, 2680, 2567, 2500, 2497, 2449, 2366, 2500, 2388, 62912, -11753, 74301, -1219, 1067, -914, -2973000, 1923000, -111000
1, 7226, 2593, 2618, 2590, 2555, 2680, 2567, 2505, 2497, 2449, 2366, 2500, 2390, 63169, -11741, 74103, -1371, 1143, -1143, -2877000, 1971000, -129000
1, 7404, 2596, 2618, 2589, 2555, 2678, 2567, 2505, 2497, 2452, 2366, 2502, 2390, 63128, -11849, 74097, -1371, 1143, -1067, -2853000, 1971000, -135000
1, 7493, 2596, 2618, 2589, 2555, 2678, 2567, 2505, 2497, 2452, 2366, 2502, 2390, 62966, -11986, 74247, -1295, 1143, -1143, -2829000, 2043000, -129000
1, 7582, 2596, 2624, 2589, 2557, 2678, 2567, 2505, 2499, 2452, 2367, 2502, 2390, 63038, -11879, 74235, -1219, 1067, -1067, -2853000, 1995000, -117000
1, 7681, 2596, 2624, 2589, 2557, 2678, 2566, 2505, 2499, 2452, 2367, 2502, 2391, 63145, -11950, 73858, -1371, 1067, -990, -2685000, 1995000, -123000
1, 7770, 2605, 2624, 2589, 2557, 2678, 2566, 2508, 2499, 2452, 2367, 2502, 2391, 62966, -11801, 73894, -1371, 1067, -990, -2829000, 1947000, -135000
1, 7859, 2605, 2624, 2592, 2557, 2684, 2566, 2508, 2499, 2455, 2367, 2503, 2391, 63020, -12022, 74343, -1295, 1219, -1067, -2949000, 1875000, -111000
1, 8031, 2605, 2624, 2592, 2557, 2684, 2566, 2508, 2499, 2455, 2367, 2503, 2391, 63032, -11944, 74235, -1219, 1143, -914, -2709000, 1947000, -135000
1, 8120, 2605, 2624, 2592, 2558, 2684, 2566, 2508, 2502, 2455, 2368, 2503, 2391, 63056, -11962, 74074, -1448, 1143, -1143, -2661000, 2043000, -141000
1, 8209, 2605, 2624, 2592, 2558, 2684, 2566, 2508, 2502, 2455, 2368, 2503, 2393, 63139, -11891, 74408, -1371, 1219, -990, -2925000, 1899000, -129000
1, 8298, 2603, 2624, 2592, 2558, 2684, 2566, 2512, 2502, 2455, 2368, 2503, 2393, 62978, -11843, 74325, -1524, 1143, -1143, -2805000, 1875000, -111000
1, 8387, 2603, 2624, 2595, 2558, 2681, 2566, 2512, 2502, 2458, 2368, 2505, 2393, 63044, -12303, 74223, -1295, 1295, -1067, -2781000, 1899000, -135000
1, 8476, 2603, 2624, 2595, 2558, 2681, 2566, 2512, 2502, 2458, 2368, 2505, 2393, 63086, -12040, 74157, -1295, 1143, -1143, -2853000, 2067000, -111000
1, 8648, 2603, 2624, 2595, 2559, 2681, 2566, 2512, 2504, 2458, 2369, 2505, 2393, 62972, -11992, 73978, -1219, 1143, -1143, -2877000, 2019000, -99000
1, 8737, 2603, 2624, 2595, 2559, 2681, 2566, 2512, 2504, 2458, 2369, 2505, 2395, 63056, -12154, 74337, -1219, 1219, -990, -2781000, 2067000, -117000
