ID,TIMESTAMP,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,ObjTemp01,ObjTemp02,ObjTemp03,ObjTemp04,ObjTemp05,ObjTemp06,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
1, 9784, 2817, 2875, 2824, 2813, 2824, 2772, 2910, 2902, 2877, 2853, 2815, 2824, 14343, 4832, 96103, -2515, 1295, -1067, -1557000, -573000, -465000
1, 9873, 2805, 2875, 2824, 2813, 2813, 2772, 2910, 2902, 2877, 2853, 2815, 2824, 14648, 5012, 96229, -2439, 1371, -1219, -1365000, -669000, -447000
1, 9962, 2805, 2875, 2815, 2813, 2813, 2772, 2910, 2902, 2877, 2853, 2815, 2824, 14493, 4934, 96157, -2439, 1295, -1143, -1461000, -645000, -471000
1, 10051, 2805, 2875, 2815, 2813, 2813, 2772, 2910, 2902, 2877, 2853, 2815, 2824, 14439, 4892, 96127, -2515, 1371, -1143, -1461000, -597000, -447000
1, 10140, 2805, 2869, 2815, 2805, 2813, 2772, 2910, 2902, 2877, 2852, 2815, 2824, 14469, 5060, 96169, -2515, 1371, -1219, -1461000, -597000, -453000
1, 10229, 2805, 2869, 2815, 2805, 2813, 2766, 2910, 2902, 2877, 2852, 2815, 2822, 14463, 5072, 96265, -2439, 1371, -1143, -1413000, -693000, -447000
1, 10318, 2807, 2869, 2815, 2805, 2813, 2766, 2911, 2902, 2877, 2852, 2815, 2822, 14283, 5102, 96073, -2286, 1600, -1143, -1533000, -501000, -447000
1, 10481, 2807, 2869, 2811, 2805, 2810, 2766, 2911, 2902, 2877, 2852, 2815, 2822, 14481, 4785, 95984, -2439, 1371, -1143, -1461000, -645000, -453000
1, 10570, 2807, 2869, 2811, 2805, 2810, 2766, 2911, 2902, 2877, 2852, 2815, 2822, 14510, 4922, 96133, -2439, 1219, -1067, -1389000, -549000, -453000
1, 10659, 2807, 2871, 2811, 2803, 2810, 2766, 2911, 2902, 2877, 2851, 2815, 2822, 14265, 5102, 96133, -2667, 1448, -1143, -1461000, -621000, -453000
1, 10748, 2807, 2871, 2811, 2803, 2810, 2766, 2911, 2902, 2877, 2851, 2815, 2822, 14552, 4982, 96169, -2439, 1371, -1067, -1437000, -573000, -471000
1, 10837, 2802, 2871, 2811, 2803, 2810, 2766, 2912, 2902, 2877, 2851, 2815, 2822, 14732, 5060, 96205, -2515, 1295, -1143, -1509000, -741000, -441000
1, 10926, 2802, 2871, 2811, 2803, 2815, 2766, 2912, 2902, 2877, 2851, 2815, 2822, 14481, 5060, 96115, -2591, 1371, -1143, -1389000, -573000, -453000
1, 11076, 2802, 2871, 2814, 2803, 2815, 2766, 2912, 2902, 2878, 2851, 2815, 2822, 14516, 5048, 96259, -2591, 1371, -1219, -1485000, -669000, -447000
1, 11165, 2802, 2872, 2814, 2803, 2815, 2766, 2912, 2902, 2878, 2851, 2815, 2822, 14558, 4892, 96283, -2667, 1371, -1143, -1269000, -525000, -459000
1, 11254, 2802, 2872, 2814, 2803, 2815, 2768, 2912, 2902, 2878, 2851, 2815, 2823, 14510, 4779, 96372, -2515, 1371, -1295, -1389000, -573000, -441000
1, 11343, 2802, 2872, 2814, 2803, 2815, 2768, 2913, 2902, 2878, 2851, 2815, 2823, 14469, 4904, 96402, -2439, 1371, -1219, -1437000, -621000, -453000
1, 11432, 2802, 2872, 2814, 2803, 2811, 2768, 2913, 2902, 2878, 2851, 2815, 2823, 14457, 5144, 96289, -2439, 1371, -1067, -1509000, -549000, -465000
1, 11521, 2802, 2872, 2795, 2803, 2811, 2768, 2913, 2902, 2878, 2851, 2815, 2823, 14457, 4832, 96235, -2439, 1371, -1067, -1437000, -477000, -471000
1, 11684, 2802, 2835, 2795, 2776, 2811, 2768, 2913, 2902, 2878, 2851, 2815, 2823, 14409, 4904, 96312, -2439, 1371, -1067, -1413000, -597000, -471000
1, 11773, 2802, 2835, 2795, 2776, 2811, 2738, 2913, 2902, 2878, 2851, 2815, 2823, 14516, 4922, 96061, -2667, 1295, -1143, -1413000, -765000, -465000
1, 11862, 2773, 2835, 2795, 2776, 2811, 2738, 2913, 2902, 2878, 2851, 2815, 2823, 14469, 4928, 96013, -2439, 1371, -1143, -1485000, -669000, -477000
1, 11951, 2773, 2835, 2795, 2776, 2782, 2738, 2913, 2902, 2878, 2851, 2815, 2823, 14612, 4886, 96175, -2591, 1371, -1143, -1485000, -645000, -459000
1, 12040, 2773, 2835, 2774, 2776, 2782, 2738, 2913, 2902, 2878, 2851, 2815, 2823, 14373, 4797, 96085, -2439, 1219, -1067, -1437000, -597000, -459000
1, 12129, 2773, 2819, 2774, 2770, 2782, 2738, 2913, 2902, 2878, 2850, 2815, 2823, 14594, 4779, 96295, -2591, 1371, -1143, -1533000, -573000, -459000
1, 12292, 2773, 2819, 2774, 2770, 2782, 2740, 2913, 2902, 2878, 2850, 2815, 2822, 14594, 4892, 95948, -2439, 1295, -1143, -1509000, -669000, -465000
1, 12381, 2779, 2819, 2774, 2770, 2782, 2740, 2913, 2902, 2878, 2850, 2815, 2822, 14379, 4599, 96301, -2439, 1143, -1143, -1509000, -573000, -471000
1, 12470, 2779, 2819, 2774, 2770, 2792, 2740, 2913, 2902, 2878, 2850, 2815, 2822, 14445, 4886, 96103, -2439, 1295, -1143, -1581000, -717000, -459000
1, 12559, 2779, 2819, 2774, 2770, 2792, 2740, 2913, 2902, 2878, 2850, 2815, 2822, 15258, 5263, 96049, -2667, 990, -1448, -1581000, -741000, -465000
1, 12648, 2779, 2815, 2774, 2769, 2792, 2740, 2913, 2903, 2878, 2849, 2815, 2822, 14528, 5018, 96067, -2515, 1448, -1143, -1485000, -693000, -477000
1, 12737, 2779, 2815, 2774, 2769, 2792, 2748, 2913, 2903, 2878, 2849, 2815, 2821, 14702, 4695, 96145, -2591, 1295, -1143, -1365000, -549000, -453000
1, 12899, 2783, 2815, 2774, 2769, 2792, 2747, 2913, 2903, 2878, 2849, 2815, 2821, 14277, 5024, 96121, -2591, 1524, -1219, -1509000, -597000, -465000
1, 12988, 2783, 2815, 2774, 2769, 2794, 2747, 2913, 2903, 2878, 2849, 2815, 2821, 14534, 4922, 95989, -2591, 1448, -1219, -1557000, -693000, -459000
1, 13077, 2783, 2815, 2774, 2769, 2794, 2747, 2913, 2903, 2878, 2849, 2815, 2821, 14319, 4809, 96067, -2362, 1448, -1143, -1461000, -621000, -453000
1, 13166, 2783, 2815, 2774, 2776, 2794, 2747, 2913, 2903, 2878, 2849, 2815, 2821, 14792, 4809, 96121, -2515, 1371, -1295, -1461000, -597000, -465000
1, 13255, 2783, 2815, 2774, 2776, 2794, 2746, 2913, 2903, 2878, 2849, 2815, 2821, 14588, 4886, 96061, -2515, 1371, -1143, -1317000, -597000, -465000
1, 13344, 2783, 2815, 2774, 2776, 2794, 2746, 2913, 2903, 2878, 2849, 2815, 2821, 14415, 5060, 96025, -2439, 1448, -1219, -1437000, -573000, -465000
1, 13494, 2777, 2815, 2774, 2776, 2793, 2746, 2914, 2903, 2878, 2849, 2815, 2821, 14493, 5042, 96103, -2667, 1295, -1143, -1581000, -621000, -471000
1, 13583, 2777, 2815, 2772, 2776, 2793, 2746, 2914, 2903, 2879, 2849, 2815, 2821, 14600, 4928, 96259, -2515, 1219, -1143, -1413000, -573000, -471000
1, 13672, 2777, 2812, 2772, 2773, 2793, 2746, 2914, 2903, 2879, 2849, 2815, 2821, 14451, 5000, 96199, -2439, 1448, -1219, -1365000, -765000, -471000
1, 13761, 2777, 2812, 2772, 2773, 2793, 2753, 2914, 2903, 2879, 2849, 2815, 2821, 14540, 4904, 96372, -2667, 1295, -1219, -1365000, -573000, -465000
1, 13850, 2777, 2812, 2772, 2773, 2793, 2753, 2914, 2903, 2879, 2849, 2815, 2821, 14475, 4773, 96247, -2591, 1371, -1067, -1413000, -405000, -471000
1, 13939, 2782, 2812, 2772, 2773, 2793, 2753, 2914, 2903, 2879, 2849, 2815, 2821, 14630, 5048, 96295, -2515, 1448, -1143, -1341000, -645000, -465000
1, 14102, 2782, 2812, 2768, 2773, 2790, 2753, 2914, 2904, 2879, 2849, 2815, 2821, 14475, 5012, 96049, -2591, 1448, -1143, -1485000, -597000, -471000
1, 14191, 2782, 2816, 2768, 2779, 2790, 2753, 2914, 2904, 2879, 2850, 2815, 2821, 14630, 4779, 96121, -2515, 1371, -1295, -1485000, -645000, -447000
1, 14280, 2782, 2816, 2768, 2779, 2790, 2746, 2914, 2904, 2879, 2850, 2815, 2821, 14618, 4886, 96241, -2362, 1295, -1143, -1485000, -669000, -465000
1, 14369, 2782, 2816, 2768, 2779, 2790, 2746, 2914, 2904, 2879, 2850, 2815, 2821, 14636, 4605, 96091, -2591, 1295, -1143, -1581000, -741000, -459000
1, 14458, 2783, 2816, 2768, 2779, 2790, 2746, 2914, 2904, 2879, 2850, 2815, 2821, 14469, 4832, 96127, -2439, 1371, -1067, -1557000, -861000, -453000
1, 14547, 2783, 2816, 2768, 2779, 2790, 2746, 2914, 2904, 2879, 2850, 2815, 2821, 14516, 4904, 96043, -2515, 1371, -1295, -1653000, -1101000, -453000
1, 14710, 2783, 2818, 2772, 2781, 2790, 2746, 2914, 2905, 2880, 2851, 2815, 2821, 14564, 4928, 96031, -2515, 1295, -1143, -1317000, -1221000, -447000
1, 14799, 2783, 2818, 2772, 2781, 2790, 2751, 2914, 2905, 2880, 2851, 2815, 2821, 14475, 4910, 96235, -2667, 1448, -1219, -1485000, -1317000, -435000
1, 14888, 2783, 2818, 2772, 2781, 2790, 2751, 2914, 2905, 2880, 2851, 2815, 2821, 14487, 5012, 96079, -2591, 1295, -1219, -1221000, -1293000, -453000
1, 14977, 2778, 2818, 2772, 2781, 2790, 2751, 2915, 2905, 2880, 2851, 2815, 2821, 14528, 4910, 95852, -2439, 1371, -1219, -957000, -1581000, -465000
1, 15066, 2778, 2818, 2772, 2781, 2791, 2751, 2915, 2905, 2880, 2851, 2815, 2821, 14498, 4892, 96181, -2439, 1371, -1067, -981000, -1509000, -477000
1, 15155, 2778, 2822, 2774, 2782, 2791, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14654, 4862, 96085, -2591, 1219, -1219, -933000, -1557000, -483000
1, 15317, 2778, 2822, 2774, 2782, 2791, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14642, 4988, 95972, -2591, 1371, -1067, -1101000, -1221000, -501000
1, 15406, 2778, 2822, 2774, 2782, 2791, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14606, 4880, 96223, -2591, 1448, -1067, -1077000, -1365000, -483000
1, 15495, 2780, 2822, 2774, 2782, 2791, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14588, 4838, 96091, -2515, 1371, -1067, -1269000, -1077000, -489000
1, 15584, 2780, 2822, 2774, 2782, 2793, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14403, 4880, 96097, -2515, 1448, -1067, -957000, -1173000, -471000
1, 15673, 2780, 2818, 2772, 2781, 2793, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14546, 4838, 96211, -2515, 1371, -1219, -1293000, -1149000, -483000
1, 15762, 2780, 2818, 2772, 2781, 2793, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14654, 4850, 95948, -2362, 1371, -1143, -1077000, -1221000, -507000
1, 15912, 2780, 2818, 2772, 2781, 2793, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14546, 4856, 96163, -2515, 1448, -1143, -1053000, -1221000, -465000
1, 16001, 2780, 2818, 2772, 2781, 2793, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14588, 4868, 96115, -2515, 1295, -1219, -1293000, -1221000, -489000
1, 16090, 2780, 2818, 2772, 2781, 2792, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14756, 4910, 96019, -2515, 1371, -1219, -1317000, -1053000, -477000
1, 16179, 2780, 2818, 2773, 2779, 2792, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14678, 4994, 96097, -2439, 1371, -1143, -1509000, -909000, -465000
1, 16268, 2780, 2818, 2773, 2779, 2792, 2751, 2915, 2905, 2881, 2850, 2815, 2821, 14618, 4844, 96318, -2515, 1371, -1143, -1389000, -981000, -477000
1, 16357, 2780, 2818, 2773, 2779, 2792, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14588, 4850, 96061, -2515, 1371, -1067, -1461000, -981000, -459000
1, 16520, 2780, 2818, 2773, 2779, 2792, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14624, 4797, 95918, -2591, 1371, -1143, -1389000, -933000, -453000
1, 16609, 2780, 2818, 2773, 2779, 2794, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14690, 4958, 96235, -2439, 1371, -1067, -1461000, -789000, -471000
1, 16698, 2780, 2817, 2774, 2783, 2794, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14445, 4803, 95984, -2667, 1371, -1143, -1365000, -765000, -465000
1, 16787, 2780, 2817, 2774, 2783, 2794, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14361, 4850, 96247, -2515, 1371, -1143, -1389000, -789000, -453000
1, 16889, 2780, 2817, 2774, 2783, 2794, 2748, 2915, 2905, 2881, 2850, 2815, 2821, 14630, 4970, 96366, -2515, 1448, -1219, -1269000, -813000, -459000
1, 16978, 2780, 2817, 2774, 2783, 2794, 2748, 2916, 2905, 2881, 2850, 2815, 2821, 14487, 4922, 96097, -2515, 1448, -1143, -1413000, -669000, -459000
1, 17141, 2780, 2821, 2774, 2784, 2794, 2748, 2916, 2906, 2881, 2851, 2815, 2821, 14582, 4856, 96163, -2515, 1448, -990, -1461000, -717000, -465000
1, 17230, 2780, 2821, 2770, 2784, 2794, 2748, 2916, 2906, 2881, 2851, 2815, 2821, 14642, 4791, 96049, -2591, 1448, -1143, -1413000, -741000, -453000
1, 17319, 2780, 2821, 2770, 2784, 2794, 2750, 2916, 2906, 2881, 2851, 2815, 2821, 14618, 4958, 96127, -2515, 1371, -1295, -1293000, -621000, -459000
1, 17408, 2780, 2821, 2770, 2784, 2794, 2750, 2916, 2906, 2881, 2851, 2815, 2821, 14726, 4803, 96001, -2515, 1448, -1143, -1245000, -693000, -447000
1, 17497, 2779, 2821, 2770, 2784, 2794, 2750, 2917, 2906, 2881, 2851, 2815, 2821, 14439, 4880, 96187, -2591, 1371, -1143, -1581000, -621000, -453000
1, 17586, 2779, 2821, 2770, 2784, 2794, 2750, 2917, 2906, 2881, 2851, 2815, 2821, 14618, 4749, 96025, -2515, 1371, -1143, -1149000, -693000, -459000
1, 17749, 2779, 2820, 2776, 2786, 2794, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14726, 4904, 96223, -2743, 1295, -1067, -1317000, -765000, -459000
1, 17838, 2779, 2820, 2776, 2786, 2794, 2756, 2917, 2907, 2881, 2851, 2815, 2821, 15127, 5072, 96384, -2820, 1295, -990, -1293000, -837000, -465000
1, 17927, 2779, 2820, 2776, 2786, 2794, 2756, 2917, 2907, 2881, 2851, 2815, 2821, 14576, 4838, 96181, -2743, 1600, -1067, -1341000, -669000, -441000
1, 18016, 2783, 2820, 2776, 2786, 2794, 2756, 2917, 2907, 2881, 2851, 2815, 2821, 14391, 5006, 95948, -2667, 1524, -1219, -1413000, -621000, -447000
1, 18105, 2783, 2820, 2776, 2786, 2794, 2756, 2917, 2907, 2881, 2851, 2815, 2821, 14373, 4862, 96169, -2439, 1295, -1143, -1293000, -573000, -459000
1, 18194, 2783, 2822, 2776, 2786, 2790, 2756, 2917, 2907, 2881, 2851, 2815, 2821, 14672, 4934, 96115, -2515, 1295, -1219, -1413000, -645000, -447000
1, 18344, 2783, 2822, 2776, 2786, 2790, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14564, 5072, 96253, -2439, 1371, -1143, -1485000, -741000, -465000
1, 18433, 2783, 2822, 2776, 2786, 2790, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14433, 5036, 95900, -2515, 1371, -1067, -1293000, -597000, -471000
1, 18522, 2784, 2822, 2776, 2786, 2790, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14564, 4791, 96031, -2743, 1371, -1143, -1341000, -621000, -465000
1, 18611, 2784, 2822, 2776, 2786, 2790, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14660, 4922, 96241, -2362, 1371, -1067, -1389000, -693000, -459000
1, 18700, 2784, 2818, 2776, 2790, 2795, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14666, 4856, 96055, -2667, 1371, -1219, -1317000, -693000, -447000
1, 18789, 2784, 2818, 2776, 2790, 2795, 2750, 2917, 2907, 2881, 2851, 2815, 2821, 14475, 5024, 96097, -2515, 1295, -1143, -1293000, -717000, -453000
1, 18952, 2784, 2818, 2776, 2790, 2795, 2752, 2917, 2907, 2881, 2851, 2815, 2821, 14223, 5413, 94153, 2515, 1219, -990, -1389000, -597000, -459000
1, 19041, 2781, 2818, 2776, 2790, 2795, 2752, 2918, 2907, 2881, 2851, 2815, 2821, 14229, 4587, 95936, -2286, 1219, -1219, -1293000, -621000, -453000
1, 19131, 2781, 2821, 2776, 2790, 2795, 2752, 2918, 2907, 2881, 2851, 2815, 2821, 14516, 4844, 96432, -2591, 1295, -1067, -1389000, -693000, -447000
1, 19220, 2781, 2821, 2776, 2786, 2792, 2752, 2918, 2907, 2881, 2851, 2815, 2821, 14845, 5126, 96103, -2515, 1295, -1143, -1269000, -789000, -453000
1, 19309, 2781, 2821, 2773, 2786, 2792, 2752, 2918, 2907, 2882, 2851, 2815, 2821, 14887, 5108, 96013, -2591, 1295, -1219, -1317000, -693000, -453000
1, 19398, 2781, 2821, 2773, 2786, 2792, 2749, 2918, 2907, 2882, 2851, 2815, 2821, 14618, 5155, 96211, -2362, 1295, -1219, -1317000, -669000, -459000
1, 19561, 2786, 2821, 2773, 2786, 2792, 2749, 2918, 2907, 2882, 2851, 2815, 2821, 14493, 5155, 96241, -2439, 1295, -1143, -1269000, -621000, -465000
1, 19650, 2786, 2819, 2773, 2792, 2792, 2749, 2918, 2908, 2882, 2851, 2815, 2821, 14546, 5072, 96312, -2667, 1448, -1219, -1365000, -717000, -453000
1, 19739, 2786, 2819, 2773, 2792, 2788, 2749, 2918, 2908, 2882, 2851, 2814, 2821, 14648, 5018, 96037, -2515, 1371, -1143, -1293000, -717000, -459000
1, 19828, 2786, 2819, 2779, 2792, 2788, 2749, 2918, 2908, 2883, 2851, 2814, 2821, 14475, 4976, 96253, -2591, 1448, -1067, -1197000, -741000, -447000
1, 19917, 2786, 2819, 2779, 2792, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14648, 4922, 96127, -2515, 1371, -1219, -1293000, -789000, -453000
1, 20006, 2786, 2819, 2779, 2792, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14612, 5138, 95942, -2439, 1371, -1143, -1317000, -741000, -459000
1, 20169, 2783, 2821, 2779, 2789, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14092, 5401, 100212, -11890, 3125, -1524, -1365000, -621000, -465000
1, 20258, 2783, 2821, 2779, 2789, 2787, 2753, 2918, 2908, 2883, 2851, 2813, 2821, 15252, 4408, 96839, -2515, 914, -1067, -1485000, -621000, -435000
1, 20347, 2783, 2821, 2781, 2789, 2787, 2753, 2918, 2908, 2883, 2851, 2813, 2821, 15234, 4533, 95906, -2286, 1067, -1067, -1389000, -669000, -465000
1, 20436, 2783, 2821, 2781, 2789, 2787, 2753, 2918, 2908, 2883, 2851, 2813, 2821, 14630, 5179, 96253, -2439, 1295, -1067, -1389000, -765000, -447000
1, 20525, 2783, 2821, 2781, 2789, 2787, 2753, 2918, 2908, 2883, 2851, 2813, 2821, 14223, 5126, 96277, -2439, 1524, -1143, -1365000, -645000, -459000
1, 20614, 2779, 2821, 2781, 2789, 2787, 2753, 2918, 2908, 2883, 2851, 2813, 2821, 14152, 5072, 96097, -2591, 1371, -1143, -1269000, -717000, -447000
1, 20764, 2779, 2823, 2781, 2790, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14929, 5030, 96061, -2515, 1295, -914, -1341000, -693000, -435000
1, 20853, 2779, 2823, 2778, 2790, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14469, 5024, 96133, -2515, 1448, -1067, -1365000, -549000, -459000
1, 20942, 2779, 2823, 2778, 2790, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14403, 4988, 96019, -2515, 1448, -1143, -1461000, -525000, -441000
1, 21031, 2779, 2823, 2778, 2790, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14481, 4815, 96139, -2439, 1371, -1143, -1365000, -669000, -453000
1, 21120, 2783, 2823, 2778, 2790, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14600, 4827, 95936, -2591, 1524, -1143, -1389000, -693000, -459000
1, 21209, 2783, 2824, 2778, 2793, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14648, 5000, 95984, -2515, 1371, -1143, -1341000, -621000, -459000
1, 21371, 2783, 2824, 2779, 2793, 2788, 2753, 2918, 2908, 2883, 2851, 2814, 2821, 14546, 4844, 96133, -2591, 1371, -1219, -1293000, -645000, -459000
1, 21460, 2783, 2824, 2779, 2793, 2788, 2758, 2918, 2908, 2883, 2851, 2814, 2821, 14612, 4827, 96438, -2515, 1371, -1143, -1221000, -669000, -453000
1, 21549, 2783, 2824, 2779, 2793, 2788, 2758, 2919, 2908, 2883, 2851, 2814, 2821, 14660, 4934, 96241, -2591, 1448, -1143, -1221000, -717000, -441000
1, 21638, 2786, 2822, 2779, 2793, 2788, 2758, 2919, 2908, 2883, 2851, 2814, 2821, 14552, 4970, 96001, -2439, 1295, -1143, -1413000, -717000, -447000
1, 21727, 2786, 2822, 2779, 2786, 2788, 2758, 2919, 2908, 2883, 2851, 2814, 2821, 14816, 5030, 96450, -2515, 1371, -1219, -1389000, -573000, -453000
